trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20051230,930955,红利低波100,1000.39,1011.17,999.03,1011.17,,1.12,779.73,35.47
20060104,930955,红利低波100,1000.39,1011.17,999.03,1011.17,,1.12,779.73,35.47
20060105,930955,红利低波100,1011.17,1032.72,1011.17,1031.95,,2.06,931.15,45.32
20060106,930955,红利低波100,1034.3,1049.14,1030.45,1044.73,,1.24,998.89,48.3
20060109,930955,红利低波100,1045.69,1053.05,1042.3,1053.05,,0.8,825.72,40.49
20060110,930955,红利低波100,1053.13,1053.16,1042.61,1053.16,,0.01,749.76,37.48
20060111,930955,红利低波100,1052.72,1061.15,1047.68,1052.34,,-0.08,934.05,43.06
20060112,930955,红利低波100,1051.15,1065.69,1049.21,1065.69,,1.27,751.75,37.13
20060113,930955,红利低波100,1065.3,1069.16,1057.16,1063.32,,-0.22,705.8,35.08
20060116,930955,红利低波100,1062.56,1062.56,1046.3,1046.3,,-1.6,759.3,35.66
20060117,930955,红利低波100,1044.25,1048.76,1043.23,1047.81,,0.14,587.44,28.17
20060118,930955,红利低波100,1047.29,1069.29,1047.29,1068.68,,1.99,746.83,36.05
20060119,930955,红利低波100,1073.88,1085.45,1068.75,1085.45,,1.57,1131.31,51.98
20060120,930955,红利低波100,1084.98,1091.4,1084.8,1090.69,,0.48,983.93,46.98
20060123,930955,红利低波100,1091.98,1098.1,1088.29,1097.76,,0.65,783.13,38.84
20060124,930955,红利低波100,1101.96,1105.04,1096.35,1098.71,,0.09,767.34,38.23
20060125,930955,红利低波100,1098.03,1104.56,1092.89,1103.18,,0.41,724.77,37.04
20060206,930955,红利低波100,1106.5,1131.56,1106.5,1131.56,,2.57,953.65,47.29
20060207,930955,红利低波100,1132.41,1132.41,1113.48,1121.4,,-0.9,1108.44,53.1
20060208,930955,红利低波100,1119.79,1126.65,1113.31,1126.65,,0.47,992.62,49.12
20060209,930955,红利低波100,1127.46,1127.46,1114.82,1115.86,,-0.96,860.2,41.76
20060210,930955,红利低波100,1116.0,1128.16,1114.91,1128.16,,1.1,738.78,36.11
20060213,930955,红利低波100,1129.52,1129.52,1118.1,1126.71,,-0.13,783.67,37.7
20060214,930955,红利低波100,1126.53,1130.25,1122.28,1130.19,,0.31,594.15,31.07
20060215,930955,红利低波100,1131.48,1138.16,1128.34,1130.84,,0.06,1007.65,50.47
20060216,930955,红利低波100,1130.58,1130.58,1106.03,1106.77,,-2.13,957.78,48.4
20060217,930955,红利低波100,1110.5,1112.13,1100.03,1105.04,,-0.16,840.18,43.5
20060220,930955,红利低波100,1105.78,1114.34,1104.68,1108.46,,0.31,741.15,37.4
20060221,930955,红利低波100,1108.1,1121.9,1100.93,1121.9,,1.21,924.31,42.96
20060222,930955,红利低波100,1122.73,1131.08,1121.1,1123.64,,0.16,1033.23,47.37
20060223,930955,红利低波100,1122.65,1122.65,1110.42,1120.75,,-0.26,730.45,35.21
20060224,930955,红利低波100,1121.62,1132.1,1121.62,1132.1,,1.01,781.65,39.67
20060227,930955,红利低波100,1135.39,1135.79,1127.24,1129.02,,-0.27,787.21,38.01
20060228,930955,红利低波100,1128.48,1131.12,1116.8,1131.12,,0.19,664.61,31.27
20060301,930955,红利低波100,1132.08,1135.43,1128.77,1135.43,,0.38,660.19,33.55
